name,price,det,link
MG90S Micro Servo Motor 180° 2.2 kg.cm Metal Gears,165.00 EGP,Common model Servo 180 Degree - Full Metal Gear,/shop/servo-mg90s-180-mg90s-micro-servo-motor-180deg-2-2-kg-cm-metal-gears-9060?page=4
FT995M-C002 Servo Motor 180° 95 kg.cm Metal Gear 12Vdc,"4,350.00 EGP",Aluminum High-Torque Servo 180 Degree,/shop/servo-ft995m-c002-ft995m-c002-servo-motor-180deg-95-kg-cm-metal-gear-12vdc-9059?page=4
"MS2 - Portable Wireless WiFi USB Digital Microscope With 5"" LCD 1080P HD","3,500.00 EGP",Magnifications: 50-1000X,/shop/microscope-ms2-ms2-portable-wireless-wifi-usb-digital-microscope-with-5-lcd-1080p-hd-9058?page=5
RMA-223 Soldering PASTE Flux (10cc),40.00 EGP,No description,/shop/rma223-paste-rma-223-soldering-paste-flux-10cc-9052?page=5
KF17-8pin IP68 Waterproof Dustproof Connector,225.00 EGP,Back Nut Style Cable Connector,/shop/kf17-8pin-kf17-8pin-ip68-waterproof-dustproof-connector-9050?page=5
KF17-6pin IP68 Waterproof Dustproof Connector,215.00 EGP,Back Nut Style Cable Connector,/shop/kf17-6pin-kf17-6pin-ip68-waterproof-dustproof-connector-9049?page=5
KSD301 Normally Close (NC) Thermal Switch,25.00 EGP,250Vac 10A,/shop/ksd301-normally-close-nc-thermal-switch-9037?page=5
KSD301 Normally Open (NO) Thermal Switch,28.00 EGP,250Vac 10A,/shop/ksd301-normally-open-no-thermal-switch-9033?page=5
Re59 Relay 220Vac 10A 8pin (HLS-13F-2),95.00 EGP,"Original HELISHUN® Brand
DC-220VAC-C-S-QUICK PIN",/shop/re59-hls-re59-relay-220vac-10a-8pin-hls-13f-2-9030?page=5
Re58 Relay 24Vdc 10A 8pin (HLS-13F-2),95.00 EGP,"Original HELISHUN® Brand
DC-24V-C-S-QUICK PIN",/shop/re58-hls-re58-relay-24vdc-10a-8pin-hls-13f-2-9029?page=5
Re57 Relay 12Vdc 10A 8pin (HLS-13F-2),95.00 EGP,"Original HELISHUN® Brand
DC-12V-C-S-QUICK PIN",/shop/re57-hls-re57-relay-12vdc-10a-8pin-hls-13f-2-9028?page=5
Re55 Relay 24Vdc 5A 14pin (HLS-4453(18F)-4),95.00 EGP,"Original HELISHUN® Brand
DC-24V-C-S-QUICK PIN",/shop/re55-hls-re55-relay-24vdc-5a-14pin-hls-4453-18f-4-9027?page=5
Re54 Relay 12Vdc 5A 14pin (HLS-4453(18F)-4),95.00 EGP,"Original HELISHUN® Brand
DC-12V-C-S-QUICK PIN",/shop/re54-hls-re54-relay-12vdc-5a-14pin-hls-4453-18f-4-9026?page=5
